Request TimeStamp,Request Target,Request Data,Response TimeStamp,Response Source,Response Data,Communication Error,,
5.55659s,Vector SLP3,36 A5 01 80 70 47 00 29 BC BF 02 80 70 47 00 2A A4 BF 59 42 01 80 F4 DB 70 47 F0 B4 1A 4B B3 F9 00 40 B3 F9 04 60 A2 1B 12 B2 B2 F5 9A 7F A8 BF 40 F2 33 12 04 DA 12 F5 9A 7F D8 BF 6F F4 99 72 DF F8 24 C0 87 78 BC F8 20 C0 0C FB 02 F2 55 12 0C 4A 22 F8 17 50 B3 F9 02 50 73 1B 1B B2 14 E0 00 00 00 C0 00 40 04 02 00 18 00 60 00 48 62 4B 01 11 A6 02 00 18 62 44 01 11 C6 3B 01 11 C6 3C 01 11,5.56117s,Vector SLP3,76 A5,,,
5.58738s,Vector SLP3,36 A6 10 03 00 18 0A 03 00 18 B3 F5 9A 7F A8 BF 40 F2 33 13 04 DA 13 F5 9A 7F D8 BF 6F F4 99 73 0C FB 03 F3 06 78 5B 12 22 F8 16 30 2B 1B 1B B2 B3 F5 9A 7F A8 BF 40 F2 33 13 04 DA 13 F5 9A 7F D8 BF 6F F4 99 73 0C FB 03 F3 40 78 5B 12 22 F8 10 30 10 88 08 80 50 88 48 80 90 88 88 80 F0 BC 70 47 00 28 08 BF 70 47 4F F0 40 20 01 6C C1 F3 8D 02 F9 49 0A 80 C0 6E C0 F3 8D 00 48 80 70 47 2D E9,5.59203s,Vector SLP3,76 A6,,,
5.61840s,Vector SLP3,36 A7 F0 4F F6 4C F6 4E 89 B0 E1 79 04 F5 89 70 00 25 19 B3 E5 71 A5 70 B6 F8 5C 10 21 F0 3F 01 A6 F8 5C 10 B6 F8 44 10 21 F0 80 01 A6 F8 44 10 B1 89 41 F0 80 01 B1 81 B6 F8 44 10 21 F0 40 01 A6 F8 44 10 B1 89 41 F0 40 01 B1 81 05 80 45 80 85 80 E5 85 25 86 65 87 A4 F8 56 50 A1 79 01 27 A9 B1 B4 F8 56 10 06 29 2E BF A5 71 49 1C A4 F8 56 10 89 B2 01 29 08 BF 25 85 08 D0 05 29 06 D1 B6 F8,5.62289s,Vector SLP3,76 A7,,,
5.64916s,Vector SLP3,36 A8 5C 10 41 F0 3F 01 A6 F8 5C 10 A7 70 21 8D D5 4A C1 F1 01 01 89 B2 02 F1 0C 03 21 85 B3 F8 00 80 B3 F8 02 C0 9B 88 01 29 01 D0 E1 B1 30 E0 DF F8 38 93 B9 F8 00 A0 C2 44 4F EA 5A 0A A2 F8 00 A0 B9 F8 02 A0 E2 44 4F EA 5A 0A A2 F8 02 A0 B9 F8 04 90 99 44 4F EA 59 09 A2 F8 04 90 B4 F8 46 20 A4 F8 4C 20 14 E0 B4 F8 50 90 A4 F8 52 90 DF F8 FC 92 B2 F8 00 A0 A9 F8 00 A0 B2 F8 02 A0 A9 F8,5.65374s,Vector SLP3,76 A8,,,
5.67993s,Vector SLP3,36 A9 02 A0 92 88 A9 F8 04 20 B4 F8 4C 20 A4 F8 48 20 A6 F8 14 80 A6 F8 18 C0 B3 83 B2 88 42 F0 40 02 B2 80 B4 F8 56 20 06 2A 28 BF 00 29 73 D1 62 7B A9 49 4A B1 4F F0 40 22 13 6C C3 F3 8D 03 0B 80 D2 6E C2 F3 8D 02 4A 80 A2 78 00 2A 6D D0 B1 F9 00 80 B1 F9 04 A0 A8 EB 0A 02 12 B2 B2 F5 9A 7F A8 BF 40 F2 33 12 04 DA 12 F5 9A 7F D8 BF 6F F4 99 72 B4 F8 20 C0 9E 4B 0C FB 02 F2 4F EA 62 29,5.68460s,Vector SLP3,76 A9,,,
5.71094s,Vector SLP3,36 AA 93 F8 02 B0 03 F1 6D 02 22 F8 1B 90 B1 F9 02 90 AA EB 09 01 09 B2 B1 F5 9A 7F A8 BF 40 F2 33 11 04 DA 11 F5 9A 7F D8 BF 6F F4 99 71 0C FB 01 F1 93 F8 00 A0 49 12 22 F8 1A 10 A9 EB 08 01 09 B2 B1 F5 9A 7F A8 BF 40 F2 33 11 04 DA 11 F5 9A 7F D8 BF 6F F4 99 71 0C FB 01 F1 5B 78 49 12 22 F8 13 10 B2 F9 00 C0 A0 F8 00 C0 B2 F9 02 30 43 80 B2 F9 04 10 81 80 7F 48 BC F1 00 0F 0C DB 00 2B,5.71546s,Vector SLP3,76 AA,,,
5.74276s,Vector SLP3,36 AB A8 BF 49 42 05 DA 00 29 AC BF 59 42 A0 F8 00 C0 0F DB 01 80 0D E0 2E E0 00 2B FA DB 00 29 B2 BF 03 80 CC F1 00 01 01 80 03 E0 05 80 45 80 85 80 E5 85 FA F7 95 FE B4 F9 2E 10 88 42 07 DA A5 70 B6 F8 5C 00 20 F0 3F 00 A6 F8 5C 00 27 72 20 7C 05 28 10 D1 68 4B A3 F1 08 02 02 F1 30 01 88 1F 8D E8 0F 00 00 F1 AE 03 B4 F9 8A 20 B4 F8 44 10 A0 8D FF F7 B7 FD E0 7C C8 B1 20 7C 05 28 05 D0,5.74732s,Vector SLP3,76 AB,,,
5.77486s,Vector SLP3,36 AC 20 8F 60 87 B4 F8 40 00 A4 F8 42 00 A0 8E 60 86 B4 F8 96 00 A4 F8 94 00 B4 F8 92 00 A4 F8 90 00 E0 7E A0 76 B4 F8 8E 00 A4 F8 8C 00 E5 74 53 48 22 7C A0 F1 0C 01 00 F1 D4 07 CD E9 06 10 CD E9 04 27 B4 F9 90 00 B4 F8 4E 30 B4 F9 8C 20 A1 7E 8D E8 0F 00 B4 F9 94 30 B4 F9 32 20 B4 F9 42 10 60 8F FF F7 03 FD 06 F0 78 F8 C1 1E 44 48 08 29 12 D2 DF E8 01 F0 04 04 09 09 11 11 14 0E 7D 80,5.77917s,Vector SLP3,76 AC,,,
5.80622s,Vector SLP3,36 AD BD 80 00 88 38 80 0A E0 7D 80 00 88 B8 80 3D 80 05 E0 E0 7B 01 28 02 D1 3D 80 7D 80 BD 80 B4 F8 56 00 05 28 24 BF 20 8D 01 28 1C BF 09 B0 BD E8 F0 8F B4 F8 46 20 20 7B 32 49 00 28 04 BF 09 B0 BD E8 F0 8F 30 48 03 78 31 F8 13 C0 2F 49 94 45 08 D9 36 22 A6 F8 58 20 40 78 15 30 08 60 09 B0 BD E8 F0 8F 46 22 02 EB 83 02 A6 F8 58 20 40 78 15 30 08 60 09 B0 BD E8 F0 8F 13 43 17 4A 0B D1,5.81066s,Vector SLP3,76 AD,,,
5.83758s,Vector SLP3,36 AE 89 78 30 F8 11 00 AC 28 06 D3 01 20 14 49 D0 70 3A 20 A1 F8 58 00 70 47 00 20 D0 70 70 47 00 2A 18 BF 70 47 8A 78 30 F8 12 C0 0D 4B 17 48 BC F1 00 0F 09 D0 4F F0 26 0C 0C EB 82 02 A3 F8 58 20 49 78 10 31 01 60 70 47 3A 22 A3 F8 58 20 49 78 10 31 01 60 70 47 00 00 0A 03 00 18 04 02 00 18 00 C0 00 40 40 03 00 18 46 03 00 18 34 03 00 18 A3 02 00 18 32 02 00 18 46 02 00 18 54 02 00 18,5.84189s,Vector SLP3,76 AE,,,
5.86810s,Vector SLP3,36 AF 3A 04 00 18 4C 03 00 18 A0 02 00 18 00 60 00 48 08 43 18 BF 70 47 FE 48 C0 78 00 28 08 BF 70 47 4F F0 40 20 C0 6E FB 49 C0 F3 8D 00 88 80 70 47 00 28 18 BF 70 47 4F F0 40 20 C1 6E C1 F3 8D 02 F4 49 0A 80 00 6C C0 F3 8D 00 48 80 70 47 F0 B5 EF 4C 84 B0 20 46 B4 F8 56 30 00 7B 05 2B 26 D3 B4 F8 28 C0 4F F0 40 21 04 F5 83 72 BC F1 01 0F 08 D0 BC F1 00 0F 04 BF 94 F8 0D C0 50 EA 0C 0C,5.87276s,Vector SLP3,76 AF,,,
5.89886s,Vector SLP3,36 B0 0C D0 14 E0 98 B9 D1 F8 6C C0 CC F3 8D 0C A2 F8 00 C0 09 6C C1 F3 8D 01 51 80 08 E0 94 F8 03 C0 BC F1 00 0F 03 D0 C9 6E C1 F3 8D 01 91 80 21 7D 00 26 81 B1 B4 F8 5C 10 A4 F8 46 10 B4 F8 5E 10 D5 4A A4 F8 4E 10 11 1D B2 F8 00 C0 A1 F8 00 C0 52 88 4A 80 26 75 D1 4D E9 1C 2A 78 0A 70 6A 78 4A 70 AA 78 8A 70 60 73 00 2B 04 BF 04 B0 F0 BD CB 48 00 F5 9E 71 00 F5 9B 77 CD E9 02 50 CD E9,5.90325s,Vector SLP3,76 B0,,,
5.92984s,Vector SLP3,36 B1 00 71 00 F1 9E 03 B4 F8 46 20 61 8F 00 F5 8C 70 FF F7 84 F9 C3 48 B4 F8 46 10 3A 88 82 82 7A 88 02 83 BA 88 82 83 81 84 81 88 41 F0 40 01 81 80 B4 F8 56 10 04 29 3C BF 04 B0 F0 BD 22 8D 3A 21 5A B1 01 2A 1C BF 04 B0 F0 BD B7 4A 23 7B 94 F8 0D C0 53 EA 0C 03 22 D1 16 E0 23 7B B2 4A 00 2B 1C BF 04 B0 F0 BD AB 78 32 F8 13 C0 AF 4A BC F1 00 0F 1C BF 26 21 01 EB 83 01 A0 F8 58 10 68 78,5.93449s,Vector SLP3,76 B1,,,
5.96073s,Vector SLP3,36 B2 10 30 10 60 04 B0 F0 BD AB 78 32 F8 13 20 AC 2A 05 D3 01 22 E2 70 A0 F8 58 10 04 B0 F0 BD E6 70 04 B0 F0 BD 9F 48 10 B5 B0 F8 68 10 11 F0 80 0F 81 89 05 D0 41 F0 80 01 81 81 FF F7 48 FF 04 E0 41 F0 40 01 81 81 FF F7 1A FD BD E8 10 40 FE F7 A7 B9 8F 48 00 79 70 47 8D 4B 4F F0 40 22 18 84 D0 68 20 F0 FF 00 80 1C D0 60 90 68 20 F0 07 00 40 1C 90 60 8D 49 08 68 20 F0 40 00 08 60 08 68,5.96536s,Vector SLP3,76 B2,,,
5.99168s,Vector SLP3,36 B3 20 F0 30 00 08 60 08 68 20 F0 07 00 08 60 23 20 48 60 08 69 20 F0 C0 00 40 30 08 61 08 69 20 F0 03 00 40 1C 08 61 7F 48 B0 F8 30 C0 2C F4 E0 6C A0 F8 30 C0 B0 F8 30 C0 2C F4 00 6C A0 F8 30 C0 4F F0 7B 0C A0 F8 28 C0 B0 F8 58 C0 2C F0 02 0C A0 F8 58 C0 B0 F8 58 C0 2C F4 40 6C A0 F8 58 C0 B0 F8 58 C0 2C F0 1C 0C A0 F8 58 C0 B0 F8 58 C0 2C F0 60 0C A0 F8 58 C0 B0 F8 5C C0 4C F4 00 4C,5.99622s,Vector SLP3,76 B3,,,
6.02350s,Vector SLP3,36 B4 A0 F8 5C C0 4F F0 7A 0C A0 F8 20 C0 B0 F8 48 C0 2C F4 40 5C 0C F5 80 5C A0 F8 48 C0 B0 F8 04 C0 4C F4 80 4C A0 F8 04 C0 61 48 D0 F8 0C C0 2C F4 80 7C C0 F8 0C C0 D0 F8 0C C0 2C F0 1E 0C 0C F1 02 0C C0 F8 0C C0 D0 F8 0C C0 4C F0 01 0C C0 F8 0C C0 90 6A 20 F4 7F 40 00 F5 70 60 90 62 D0 68 20 F4 E0 20 00 F5 80 30 D0 60 90 68 20 F4 E0 20 00 F5 C0 20 90 60 C8 68 40 F0 01 00 C8 60 C8 68,6.02808s,Vector SLP3,76 B4,,,
6.05439s,Vector SLP3,36 B5 40 F0 40 00 C8 60 00 20 98 75 A3 F8 7A 00 A3 F8 7C 00 A3 F8 7E 00 70 47 70 47 3E 48 4F F4 CD 71 01 80 41 80 81 80 70 47 39 48 0A 21 41 84 81 84 C1 84 00 21 01 71 37 49 4F F4 CD 70 88 80 70 47 10 B5 FE F7 50 FD 33 48 84 88 FE F7 54 FD 30 48 0A 21 02 79 7A B1 81 84 A4 F2 37 12 41 84 C7 2A 24 BF C1 84 10 BD C1 8C 00 29 19 BF 49 1E C1 84 00 21 01 71 10 BD C1 84 B4 F5 9B 7F 09 D8 41 84,6.05894s,Vector SLP3,76 B5,,,
6.08612s,Vector SLP3,36 B6 81 8C 00 29 1B BF 49 1E 81 84 01 21 10 BD 01 71 10 BD B4 F5 FF 7F 81 84 05 D3 41 8C 00 29 14 BF 49 1E 02 21 F3 D0 41 84 10 BD 70 B4 B1 F8 84 C0 0C 68 01 EB 4C 03 0C F1 01 0C 9D 88 64 1B 04 44 0C 60 A1 F8 84 C0 98 80 B1 F8 84 30 00 20 93 42 28 BF A1 F8 84 00 91 F8 10 31 00 2B 04 BF 01 20 81 F8 10 01 30 D0 81 F8 10 01 0B 68 B1 F8 0C C1 B3 FB F2 F3 01 EB 4C 04 D1 F8 88 50 B4 F8 8C 60,6.09079s,Vector SLP3,76 B6,,,
6.11723s,Vector SLP3,36 B7 9B B2 AD 1B 1D 44 0C F1 01 0C C1 F8 88 50 11 E0 04 02 00 18 0A 03 00 18 AA 02 00 18 A0 02 00 18 10 02 00 18 00 C0 00 40 46 03 00 18 00 60 00 48 00 80 01 48 A1 F8 0C C1 A4 F8 8C 30 B1 F8 0C 31 93 42 28 BF A1 F8 0C 01 D1 F8 88 00 70 BC B0 FB F2 F0 80 B2 70 47 FF 49 30 B4 01 F5 86 72 8D 7D B2 F9 00 40 00 22 4F F0 01 0C 00 2D 5A D0 0B 46 01 2D B3 F8 7C 30 66 D0 02 2D 02 BF A1 F8 7E 20,6.12164s,Vector SLP3,76 B7,,,
6.14795s,Vector SLP3,36 B8 A1 F8 7A 30 A1 F8 7C 20 81 F8 16 20 F2 48 B1 F8 7A 10 40 23 B0 F8 84 50 04 68 00 EB 45 05 AD 88 64 1B 0C 44 04 60 B0 F8 84 40 00 EB 44 05 64 1C A0 F8 84 40 A9 80 B0 F8 84 10 40 29 28 BF A0 F8 84 20 90 F8 10 11 00 29 08 BF 80 F8 10 C1 22 D0 80 F8 10 21 01 68 B0 F8 0C 41 B1 FB F3 F1 00 EB 44 04 D0 F8 88 C0 B4 F8 8C 40 89 B2 AC EB 04 0C 8C 44 C0 F8 88 C0 B0 F8 0C C1 00 EB 4C 04 0C F1,6.15251s,Vector SLP3,76 B8,,,
6.17959s,Vector SLP3,36 B9 01 0C A0 F8 0C C1 A4 F8 8C 10 B0 F8 0C 11 40 29 28 BF A0 F8 0C 21 D0 F8 88 00 30 BC B0 FB F3 F0 00 B2 70 47 80 2C 88 BF 81 F8 16 C0 AE D8 B1 F8 7E 00 43 1C A1 F8 7E 30 64 28 84 BF A1 F8 7E 20 A1 F8 7A 20 A2 E7 A1 F8 7E 20 98 42 C8 BF A1 F8 7C 00 9B DC 14 F1 80 0F 3C BF 02 20 88 75 95 E7 70 47 2D E9 FF 4F 83 B0 BC 49 DD E9 13 64 DD E9 21 9B DD F8 5C C0 DD F8 70 A0 DD F8 40 80 12 9F,6.18399s,Vector SLP3,76 B9,,,
6.21077s,Vector SLP3,36 BA 1F 9A 05 2C 0C BF 01 25 00 25 01 95 B4 4D D5 F8 00 E0 24 35 15 F8 0E 50 0D B9 01 9D 35 B9 01 2C 04 D0 02 2C 04 D1 B6 F5 A7 7F 01 DC 01 25 00 E0 00 25 8A F8 00 50 DF F8 9C A2 00 2D 1C BF 35 04 CA F8 C0 50 A3 4D D5 F8 C0 50 8D 42 DE BF A5 49 A9 42 29 46 0D 14 BC F1 00 0F 19 BF 4F F0 00 0C E2 46 B3 F9 00 C0 B3 F9 02 A0 01 2C 04 BF 00 23 13 80 06 D0 02 2C 08 BF 16 80 02 D0 15 80 05 2C,6.21523s,Vector SLP3,76 BA,,,
6.24234s,Vector SLP3,36 BB 7E D0 11 9B 45 F6 2D 2E 23 F0 01 03 0C FB 0E FE 03 EB 2E 43 B2 F9 00 E0 5B 10 03 FB 0E F3 08 FB 0A FE DB 13 4E F3 CF 3E 0E EB 03 13 43 F3 0F 13 4F EA C3 0E 45 F2 D4 03 CD F8 00 E0 9E 45 A8 BF 45 F2 D4 03 0B DA 88 4B 73 45 03 DA 0F FA 8E F3 00 2B 04 DA C3 F1 00 0E A9 F8 00 E0 01 E0 A9 F8 00 30 45 F6 2D 2E 0A FB 0E FA B2 F9 00 20 4F EA 2A 4A 0A FB 02 F2 0C FB 08 FC D2 13 4C F3 CF 3C,6.24671s,Vector SLP3,76 BB,,,
6.27330s,Vector SLP3,36 BC AC EB C2 02 42 F3 CF 02 4F EA 82 0C 45 F2 D4 02 94 45 A8 BF 45 F2 D4 02 0C DA 73 4A E2 46 62 45 03 DA 0F FA 8A F2 00 2A 04 DA C2 F1 00 0C 1F FA 8C FC 01 E0 1F FA 82 FC B9 F8 00 A0 D6 46 E2 45 05 D8 4F F0 01 0A CD F8 08 A0 F2 46 05 E0 4F F0 00 0A CD F8 08 A0 E2 46 F4 46 0C F1 01 0E 4F EA 0A 4A 1F FA 8E FE BA FB FE FA DF F8 80 E1 CA F3 C8 1A CD F8 00 A0 3E F8 1A A0 0A FB 0C FC 00 E0,6.27794s,Vector SLP3,76 BC,,,
6.30509s,Vector SLP3,36 BD 4F E0 4F EA DC 3C A9 F8 00 C0 DD E9 04 AC 0C FB 0A FC CC F3 CF 3A BA F5 0C 4F 32 BF AB F8 00 A0 4F F4 0C 4C AB F8 00 C0 BB F8 00 C0 B9 F8 00 90 CC 45 28 BF CC 46 D4 45 2E BF 4F F6 FF 7C 4F EA 0C 4C BC FB FA FC DD F8 60 90 A9 F8 00 C0 DD F8 08 90 DF F8 1C C1 B9 F1 00 0F DD F8 00 90 11 BF 3C F8 19 C0 3C F9 19 C0 CC F5 80 4C 1F FA 8C FC 00 2B 0C DB 00 2A B8 BF CC F5 00 42 02 DA 00 BF,6.30980s,Vector SLP3,76 BD,,,
6.33711s,Vector SLP3,36 BE 1F FA 82 FC 19 9A AC F5 80 43 13 80 12 E0 00 2A A6 BF 4F F6 FF 72 A2 EB 0C 0C 0C F5 00 42 F1 DA EE E7 00 22 A9 F8 00 20 AB F8 00 20 18 9B 1A 80 19 9B 1A 80 27 4A D2 F8 D4 B0 1D 9A 4F EA 2B 4A A2 F8 00 A0 02 88 B7 F9 00 30 B0 F8 02 90 5A 43 B7 F9 02 30 B0 F8 04 C0 09 FB 03 2E CD F8 00 C0 B7 F9 04 20 4F EA 59 09 0C FB 02 EC CA EB 2C 4C 4F EA 6C 0C 4C F6 CC 4A 0C FB 0A FC 0B EB EC 0A,6.34166s,Vector SLP3,76 BE,,,
6.36796s,Vector SLP3,36 BF DF F8 50 C0 CC F8 D4 A0 DD F8 90 C0 4C F6 11 1A BC F8 00 C0 0C FB 0A FC DF F8 58 A0 4F EA 1C 4C 0C FB 0A FC DF F8 2C A0 4F EA 2C 4C 0C EB 8C 0C AA F8 80 C0 DD F8 00 C0 4F EA 5C 0A B7 F9 00 C0 4A F6 AA 27 0C FB 07 FC 0B 4F 4F EA 2C 4C 5F 43 14 E0 00 00 04 02 00 18 FC 07 00 18 00 00 D0 75 E0 02 00 18 00 00 30 8A 2C AF FF FF E2 4B 01 11 E2 4F 01 11 F2 45 01 00 55 D5 FF FF 0C EB E7 3C,6.37252s,Vector SLP3,76 BF,,,
6.39866s,Vector SLP3,36 C0 FE 4F 00 88 57 43 0C EB E7 3C 49 F2 CE 37 7B 43 FB 4F 1B 14 7A 43 03 EB E2 32 40 08 45 F2 55 53 58 43 03 0C F5 48 0F FA 8C FC 09 FB 00 F0 03 EB 20 43 F2 48 12 B2 0A FB 00 F0 03 EB 20 40 03 B2 05 98 58 43 40 14 0C FB 08 F3 A0 EB E3 43 50 42 68 43 C7 13 45 F6 2D 20 78 43 A3 EB 60 40 07 B2 44 F6 E7 10 E6 4B 09 FB 00 F0 00 14 0A FB 03 F3 00 EB 23 40 03 B2 05 98 58 43 02 FB 08 F3 40 14,6.40338s,Vector SLP3,76 C0,,,
6.42965s,Vector SLP3,36 C1 A0 EB E3 40 05 FB 0C F3 DB 13 45 F6 2D 28 03 FB 08 F3 A0 EB 63 40 0F FA 80 F8 B8 F1 00 0F BA BF C8 F1 00 00 80 B2 1F FA 88 F0 00 2F BA BF 7B 42 9B B2 BB B2 98 42 9D BF 4F F0 01 0A 81 46 18 46 4F F0 00 0A 88 BF 99 46 40 1C 80 B2 4F EA 09 49 B9 FB F0 F3 B9 FB F0 F0 DF F8 28 93 9B B2 C0 F3 07 20 BA F1 00 0F 11 BF 39 F8 10 00 18 0A 39 F9 10 00 C0 F5 80 40 08 BF 80 B2 B8 F1 00 0F 66 DB,6.43424s,Vector SLP3,76 C1,,,
6.46142s,Vector SLP3,36 C2 00 2F B8 BF C0 F5 00 40 00 DA 80 B2 00 2D AC BF BD 4B 4F F4 80 43 03 44 1B 98 03 80 BB 48 B0 F9 80 70 DB 1B A0 F8 82 30 25 9B 1B 78 00 2B 1C BF 1B 9B 1F 80 1B 9B 1F 88 15 9B FB 1A 1B B2 47 F6 FD 77 BB 42 C8 BF 47 F6 FD 73 03 DC B0 4F 9F 42 C8 BF 3B 46 40 F6 91 47 7B 43 1B 13 4F F4 48 47 7B 43 1F 14 44 F2 89 13 7B 43 9B 13 4F F4 48 48 03 FB 08 F3 01 EB 63 21 C0 F8 C0 10 A5 49 03 2C,6.46610s,Vector SLP3,76 C2,,,
6.49240s,Vector SLP3,36 C3 C1 F1 00 08 18 BF C0 F8 D0 80 29 D0 D0 F8 D0 10 44 F2 89 13 B3 EB E1 3F CC BF 4F F0 01 08 4F F0 00 08 01 F1 82 41 01 F5 09 01 C0 F8 D0 10 40 F2 8C 63 99 49 AB 42 C4 BF 16 9B B3 F5 B4 5F 02 DD B8 F1 00 0F 14 D0 00 23 C0 F8 CC 30 19 E0 00 2F A6 BF 4F F6 FF 73 18 1A 00 F5 00 40 96 DA 94 E7 D0 F8 D0 30 8B 42 DC BF 41 46 98 45 D0 DC CD E7 D0 F8 CC 30 8B 42 C8 BF 0B 46 02 DC 00 2B B8 BF,6.49697s,Vector SLP3,76 C3,,,
6.52424s,Vector SLP3,36 C4 00 23 03 F5 02 29 09 F5 89 59 C0 F8 CC 90 D1 2D 02 DA B8 F1 00 0F 03 D0 00 21 C0 F8 C8 10 08 E0 D0 F8 C8 90 49 45 04 DB B9 F1 00 0F B4 BF 00 21 49 46 01 F5 02 29 09 F5 89 59 C0 F8 C8 90 B8 F1 00 0F 04 D0 00 21 C0 F8 C4 10 C1 75 24 E0 D0 F8 C4 90 07 EB C7 0A 4F EA 29 48 0A EB 07 1A C8 EB 2A 1A 4F EA 6A 0A 4A F2 D6 3B 0A FB 0B FA 09 EB AA 19 08 F5 7A 68 C0 F8 C4 90 B8 F5 FA 5F 09 D8,6.52882s,Vector SLP3,76 C4,,,
6.55614s,Vector SLP3,36 C5 4F F4 00 58 B8 EB 21 4F C8 BF B8 EB 23 4F 01 DD C1 7D 01 B1 01 21 C1 75 D0 F8 D8 30 02 2C 18 BF 00 23 44 F2 89 11 71 43 89 13 41 F2 5F 44 61 43 03 EB C1 01 C0 F8 D8 10 58 49 01 9E 01 F1 24 08 0C 68 04 2C 08 F8 04 60 34 BF 64 1C 00 24 0C 60 42 F6 41 51 79 43 49 13 01 EB 05 11 0C 11 1A 99 1B 14 0C 80 1E 99 0B 80 C1 7D 20 98 01 70 23 98 A0 F8 00 C0 23 98 42 80 07 B0 BD E8 F0 8F 43 49,6.56068s,Vector SLP3,76 C5,,,
6.58707s,Vector SLP3,36 C6 00 20 01 F5 80 72 A1 F8 80 00 A1 F8 82 00 C1 F8 DC 00 C1 F8 D4 00 C1 F8 C0 00 C1 F8 D0 00 C1 F8 CC 00 C1 F8 C8 00 C1 F8 C4 00 10 60 10 71 C8 75 3B 48 C1 F8 D8 00 70 47 DF F8 D0 C0 30 B4 BC F8 84 40 60 43 80 B2 31 28 34 BF 01 24 00 24 45 1C 6C 43 AC F8 84 40 DF F8 CC C0 3C F8 10 C0 A1 F8 00 C0 31 49 31 F8 10 10 11 80 30 49 31 F8 10 10 19 80 2F 49 31 F8 10 00 58 80 30 BC 70 47 23 49,6.59155s,Vector SLP3,76 C6,,,
6.61788s,Vector SLP3,36 C7 00 20 A1 F8 84 00 70 47 2D E9 FF 4F 88 B0 1F 48 DD E9 1E 15 DD E9 19 A9 15 9C DD F8 84 C0 4F F0 78 56 02 2C 05 D0 01 22 02 92 00 22 C0 F8 EC 20 0A E0 00 22 02 92 D0 F8 EC 20 B2 F1 78 5F 04 DC 00 2A B8 BF 00 26 00 DB 16 46 46 F3 CF 38 C8 F3 8F 27 A8 EB 87 22 12 B2 16 4B 07 92 C2 F5 80 6E 33 F9 17 B0 0F FA 8E FE 0B FB 0E FB CD F8 18 E0 07 F1 01 0E 1F FA 8E FE 1E E0 00 00 55 D5 FF FF,6.62241s,Vector SLP3,76 C7,,,
6.64954s,Vector SLP3,36 C8 19 B6 FF FF 62 49 01 11 00 C0 FF FF 04 02 00 18 03 80 FF FF 00 00 CD 20 00 00 33 23 E0 02 00 18 09 51 BE 28 C6 3D 01 11 F8 3E 01 11 92 3E 01 11 2C 3E 01 11 DE 3F 01 11 CD F8 14 E0 33 F9 1E 30 03 FB 02 B2 42 F3 4C 32 AC F8 00 20 B1 F9 02 20 00 2A BA BF 52 42 92 B2 4A 88 B1 F9 00 30 00 2B BA BF 59 42 89 B2 09 88 8A 42 92 BF 13 46 0B 46 11 46 1A 04 4B 1C 9B B2 B2 FB F3 F2 FF 4B C2 F3,6.65426s,Vector SLP3,76 C8,,,
6.68135s,Vector SLP3,36 C9 46 22 33 F8 12 20 51 43 C1 F3 8F 31 4F EA 51 0C 03 2C 07 BF 01 24 00 21 00 24 01 21 8E 46 A9 EB 0A 01 49 10 03 91 C9 0F 01 91 F6 49 F4 4B 00 2C B1 F9 86 10 1A 46 4F EA 41 39 04 BF 11 46 C0 F8 E8 30 0E D0 01 99 21 B1 01 7E 00 29 08 BF C0 F8 E8 90 D0 F8 E8 10 8B 42 04 DB 00 29 B8 BF 00 22 00 DB 0A 46 DD F8 74 A0 42 F3 4F 31 AA EB 0C 0A 4F EA 6A 0A 4F EA DA 7B CD F8 00 A0 00 2C 08 BF,6.68573s,Vector SLP3,76 C9,,,
6.71235s,Vector SLP3,36 CA C0 F8 E4 30 12 D0 BB F1 00 0F 06 D0 90 F8 19 A0 BA F1 00 0F 08 BF C0 F8 E4 90 D0 F8 E4 90 4B 45 04 DB B9 F1 00 0F B4 BF 00 23 4B 46 43 F3 4F 39 BE F1 00 0F 1A BF 4F F0 00 0A C0 F8 F8 A0 D0 F8 F8 A0 CD F8 10 A0 DD F8 88 E0 4F EA 2A 4A AE F8 00 A0 1E BF 4F F0 00 0A C0 F8 F8 A0 C0 F8 F4 A0 0E D1 00 BF AC EB 0A 0A 4F EA 6A 0A 42 F6 F6 0E 0A FB 0E FE DD F8 10 A0 0A EB AE 0A C0 F8 F8 A0,6.71697s,Vector SLP3,76 CA,,,
6.74315s,Vector SLP3,36 CB C0 48 DD F8 8C E0 D0 F8 F4 A0 4F EA 2A 40 AE F8 00 00 06 D0 DF F8 EC C2 4F F0 00 00 CC F8 F4 00 0C E0 AC EB 00 00 4F EA 60 00 4C F6 CE 4C 00 FB 0C FC B4 48 0A EB AC 0C C0 F8 F4 C0 49 45 C8 BF 49 46 4F EA 21 2C 00 2C 00 F0 BE 80 DD E9 08 10 89 00 09 B2 01 EB 81 01 AB 4C C9 10 61 43 4F F0 00 0A 09 14 08 1A 4F EA 60 0E 0A 98 CC F1 00 04 00 FB 0E F0 00 14 14 F1 13 0F B8 BF 6F F0 12 04,6.74782s,Vector SLP3,76 CB,,,
